smiles,group,fragment_smiles,attribution,attribution_normalized,pred_mean_mol,pred_mean_sub
FC(F)(F)S(Br)=O,test,O=S(Br)C(F)(F)F,3.954935163,0.999266065,0.132799715,-3.822135448
FC(F)(F)[AsH2],test,FC(F)(F)[AsH2],0.54882884,0.499641937,-3.273306608,-3.822135448
CC(C)=CC(=O)C(F)(F)F,test,CCC,0.097420692,0.097113658,1.192831397,1.095410705
CC(C)=CC(=O)C(F)(F)F,test,CC=O,2.489375114,0.986328777,1.192831397,-1.296543717
CC(C)=CC(=O)C(F)(F)F,test,FC(F)F,0.548796117,0.499617382,1.192831397,0.64403528
FC(F)(F)C(F)(Cl)Br,test,FC(F)(F)C(F)(Cl)Br,3.495395422,0.998161056,-0.326740026,-3.822135448
FC(F)(I)C(F)(F)C#N,test,FC(F)C(F)(F)I,2.01851286,0.965312451,-0.099073753,-2.117586613
FC(F)(I)C(F)(F)C#N,test,C#N,0.663915589,0.58096332,-0.099073753,-0.762989342
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(O)(=O)=O,test,CCO,-0.197603226,-0.195070831,-1.121627212,-0.924023986
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(O)(=O)=O,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.815189958,0.672443353,-1.121627212,-1.936817169
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(O)(=O)=O,test,O=S(=O)O,1.57283771,0.917475966,-1.121627212,-2.694464922
FC(F)(F)C1CC(=O)N1,test,FC(F)F,0.357137918,0.342690548,-1.283471704,-1.640609622
FC(F)(F)C1CC(=O)N1,test,O=C1CCN1,3.708693862,0.998799289,-1.283471704,-4.992165565
